date,cases
2022-04-01,80252822.0
2022-04-02,80264902.0
2022-04-03,80269916.0
2022-04-04,80308034.0
2022-04-05,80333004.0
2022-04-06,80372934.0
2022-04-07,80422607.0
2022-04-08,80495785.0
2022-04-09,80508841.0
2022-04-10,80518648.0
2022-04-11,80556762.0
2022-04-12,80591984.0
2022-04-13,80642046.0
2022-04-14,80695905.0
2022-04-15,80730374.0
2022-04-16,80743193.0
2022-04-17,80751116.0
2022-04-18,80810667.0
2022-04-19,80849167.0
2022-04-20,80916941.0
2022-04-21,80977423.0
2022-04-22,81065998.0
2022-04-23,81086701.0
2022-04-24,81100684.0
2022-04-25,81168488.0
2022-04-26,81213378.0
2022-04-27,81303190.0
2022-04-28,81380164.0
2022-04-29,81441418.0
2022-04-30,81466515.0
2022-05-01,81483878.0
2022-05-02,81577751.0
2022-05-03,81627417.0
2022-05-04,81739767.0
2022-05-05,81827980.0
2022-05-06,81957032.0
2022-05-07,81986083.0
2022-05-08,81992696.0
2022-05-09,82121875.0
2022-05-10,82192395.0
2022-05-11,82353418.0
2022-05-12,82458758.0
2022-05-13,82546019.0
2022-05-14,82564507.0
2022-05-15,82597636.0
2022-05-16,82774560.0
2022-05-17,82859886.0
2022-05-18,83063720.0
2022-05-19,83199269.0
2022-05-20,83348050.0
2022-05-21,83376204.0
2022-05-22,83397052.0
2022-05-23,83538581.0
2022-05-24,83622443.0
2022-05-25,83833181.0
2022-05-26,83968711.0
2022-05-27,84076542.0
2022-05-28,84090814.0
2022-05-29,84097941.0
2022-05-30,84160453.0
2022-05-31,84327623.0
2022-06-01,84556346.0
2022-06-02,84678666.0
2022-06-03,84835652.0
2022-06-04,84863797.0
2022-06-05,84880180.0
2022-06-06,85040000.0
2022-06-07,85126635.0
2022-06-08,85325235.0
2022-06-09,85457174.0
2022-06-10,85563335.0
2022-06-11,85598730.0
2022-06-12,85616604.0
2022-06-13,85768172.0
2022-06-14,85858349.0
2022-06-15,86043237.0
2022-06-16,86173269.0
2022-06-17,86312081.0
2022-06-18,86329874.0
2022-06-19,86348026.0
2022-06-20,86444069.0
2022-06-21,86555254.0
2022-06-22,86740614.0
2022-06-23,86879321.0
2022-06-24,86996527.0
2022-06-25,87037642.0
2022-06-26,87060105.0
2022-06-27,87220041.0
2022-06-28,87317851.0
2022-06-29,87507744.0
2022-06-30,87675497.0
2022-07-01,87832335.0
2022-07-02,87852914.0
2022-07-03,87861573.0
2022-07-04,87938030.0
2022-07-05,88079445.0
2022-07-06,88279848.0
2022-07-07,88418909.0
2022-07-08,88556616.0
2022-07-09,88585917.0
2022-07-10,88610685.0
2022-07-11,88811559.0
2022-07-12,88959760.0
2022-07-13,89164076.0
2022-07-14,89339527.0
2022-07-15,89492720.0
2022-07-16,89532172.0
2022-07-17,89562008.0
2022-07-18,89726854.0
2022-07-19,89844049.0
2022-07-20,90060452.0
2022-07-21,90236212.0
2022-07-22,90367616.0
2022-07-23,90394217.0
2022-07-24,90417708.0
2022-07-25,90607567.0
2022-07-26,90739662.0
2022-07-27,90979439.0
2022-07-28,91156816.0
2022-07-29,91316052.0
2022-07-30,91332279.0
2022-07-31,91345500.0
2022-08-01,91515311.0
2022-08-02,91606246.0
2022-08-03,91806645.0
2022-08-04,91993968.0
2022-08-05,92100085.0
2022-08-06,92115225.0
2022-08-07,92127962.0
2022-08-08,92283156.0
2022-08-09,92382916.0
2022-08-10,92579399.0
2022-08-11,92742377.0
2022-08-12,92839032.0
2022-08-13,92922848.0
2022-08-14,92932669.0
2022-08-15,93055367.0
2022-08-16,93147144.0
2022-08-17,93284016.0
2022-08-18,93433144.0
2022-08-19,93510693.0
2022-08-20,93521907.0
2022-08-21,93531782.0
2022-08-22,93660731.0
2022-08-23,93760016.0
2022-08-24,93911704.0
2022-08-25,94051364.0
2022-08-26,94172441.0
2022-08-27,94184363.0
2022-08-28,94192955.0
2022-08-29,94299131.0
2022-08-30,94374765.0
2022-08-31,94528939.0
2022-09-01,94659168.0
2022-09-02,94723808.0
2022-09-03,94735296.0
2022-09-04,94742779.0
2022-09-05,94776454.0
2022-09-06,94888901.0
2022-09-07,95012873.0
2022-09-08,95120095.0
2022-09-09,95220855.0
2022-09-10,95231015.0
2022-09-11,95240059.0
2022-09-12,95309449.0
2022-09-13,95389122.0
2022-09-14,95492323.0
2022-09-15,95575960.0
2022-09-16,95632196.0
2022-09-17,95640767.0
2022-09-18,95646258.0
2022-09-19,95701949.0
2022-09-20,95771211.0
2022-09-21,95869575.0
2022-09-22,95950646.0
2022-09-23,96033930.0
2022-09-24,96043688.0
2022-09-25,96050433.0
2022-09-26,96095985.0
2022-09-27,96157033.0
2022-09-28,96243578.0
2022-09-29,96328114.0
2022-09-30,96361678.0
2022-10-01,96369724.0
2022-10-02,96375608.0
2022-10-03,96417095.0
2022-10-04,96472453.0
2022-10-05,96543831.0
2022-10-06,96604796.0
2022-10-07,96663130.0
2022-10-08,96670971.0
2022-10-09,96676610.0
2022-10-10,96699681.0
2022-10-11,96760525.0
2022-10-12,96825225.0
2022-10-13,96888844.0
2022-10-14,96915918.0
2022-10-15,96922004.0
2022-10-16,96928820.0
2022-10-17,96967772.0
2022-10-18,97011435.0
2022-10-19,97072134.0
2022-10-20,97129565.0
2022-10-21,97175689.0
2022-10-22,97181178.0
2022-10-23,97189814.0
2022-10-24,97229198.0
2022-10-25,97273000.0
2022-10-26,97344540.0
2022-10-27,97403880.0
2022-10-28,97434321.0
2022-10-29,97443447.0
2022-10-30,97446879.0
2022-10-31,97491846.0
2022-11-01,97540814.0
2022-11-02,97614852.0
2022-11-03,97685695.0
2022-11-04,97724406.0
2022-11-05,97729710.0
2022-11-06,97737841.0
2022-11-07,97778514.0
2022-11-08,97809969.0
2022-11-09,97907293.0
2022-11-10,97973635.0
2022-11-11,97986819.0
2022-11-12,97992088.0
2022-11-13,97994731.0
2022-11-14,98045142.0
2022-11-15,98105019.0
2022-11-16,98189764.0
2022-11-17,98243862.0
2022-11-18,98299460.0
2022-11-19,98304478.0
2022-11-20,98308425.0
2022-11-21,98352945.0
2022-11-22,98409266.0
2022-11-23,98522698.0
2022-11-24,98539023.0
2022-11-25,98561352.0
2022-11-26,98564651.0
2022-11-27,98570599.0
2022-11-28,98632925.0
2022-11-29,98700385.0
2022-11-30,98813400.0
2022-12-01,98904029.0
2022-12-02,98968415.0
2022-12-03,98975552.0
2022-12-04,98981119.0
2022-12-05,99038945.0
2022-12-06,99133959.0
2022-12-07,99279412.0
2022-12-08,99378688.0
2022-12-09,99415297.0
2022-12-10,99422565.0
2022-12-11,99428962.0
2022-12-12,99488642.0
2022-12-13,99582454.0
2022-12-14,99731156.0
2022-12-15,99843780.0
2022-12-16,99898835.0
2022-12-17,99905916.0
2022-12-18,99911987.0
2022-12-19,99972811.0
2022-12-20,100054789.0
2022-12-21,100236957.0
2022-12-22,100333145.0
2022-12-23,100372381.0
2022-12-24,100378903.0
2022-12-25,100382117.0
2022-12-26,100394549.0
2022-12-27,100505484.0
2022-12-28,100618828.0
2022-12-29,100722818.0
2022-12-30,100757296.0
2022-12-31,100765248.0
2023-01-01,100769543.0
2023-01-02,100777853.0
2023-01-03,100890152.0
2023-01-04,101088268.0
2023-01-05,101196118.0
2023-01-06,101261306.0
2023-01-07,101267161.0
2023-01-08,101272871.0
2023-01-09,101315882.0
2023-01-10,101399167.0
2023-01-11,101538785.0
